,SKU,NAME,RRP 
,36-10540194,Shakos on Parade,$16.95
,36-10540196,Mantis Dance,$16.95
,36-10540257,Danish Dance for Baritone and Piano,$12.95
,36-10540258,Allegro from Concerto in F minor,$16.95
,36-10540347,Concerto,$54.95
,36-10540404,Two Short Pieces for Baritone and Piano,$16.95
,36-10540437,Harvest Waltz for Baritone (B.C.) and Piano,$19.95
,36-10541159,The Rosary for Baritone (T.C.) Duo and Piano,$19.95
,98-BB211BBC,Chorales and Beyond-Baritone BC,$14.95
,98-BB211BTC,Chorales and Beyond-Baritone TC,$18.95
,HX104BTC,PLAY JAZZ BARITONE TC BK/OLA,$27.95
,M-050-03475-9,SPARKE - RHAPSODY FOR BARITONE/PIANO,$21.95
,3015017,SIGHT READING BOOK FOR BAND V1 BARI BC,$27.95
,3015018,SIGHT READING BOOK FOR BAND V1 BARI TC,$27.95
,3015047,SIGHT READING BOOK FOR BAND V2 BARI BC,$27.95
,3015048,SIGHT READING BOOK FOR BAND V2 BARI TC,$27.95
,3015077,SIGHT READING BOOK FOR BAND V3 BARI BC,$27.95
,3015078,SIGHT READING BOOK FOR BAND V3 BARI TC,$27.95
,3016137,SIGHT READING BOOK FOR BAND V4 BARI BC,$27.95
,3016138,SIGHT READING BOOK FOR BAND V4 BARI TC,$27.95
,BMI11050532-400,MELODIC HIGHLIGHTS C BARITONE BC BK/CD,$58.95
,3018018,52 HYMNS & CHORALES WINDS BARITONE TC,$16.95
,50351890,BACH - 16 CHORALES BARITONE 1 BASS CLEF PART,$11.95
,50351900,BACH - 16 CHORALES BARITONE 2 BASS CLEF PART,$11.95
,50351910,BACH - 16 CHORALES BARITONE 1 TREBLE CLEF PART,$11.95
,8724572BARBC,JOHN WILLIAMS TRILOGY CB2 BARITONE BC PART,$9.95
,3775761,LEVY - CARNIVAL OF VENICE FOR BARITONE BC/PIANO,$38.95
,UMV100188,SIEMPRE ZARZUELA BARITONE,$67.95
,WR010,120 HYMNS FOR BRASS BAND 1ST BARITONE PART,$29.95
,WR011,121 HYMNS FOR BRASS BAND 2ND BARITONE PART,$29.95
,3775309,UBER - ECNAMOR (ROMANCE) FOR BARITONE/PIANO,$39.95
,3730015,CLASSIC ROCK HITS FOR MARCHING BAND BARITONE BC,$11.95
,3730016,CLASSIC ROCK HITS FOR MARCHING BAND BARITONE TC,$11.95
,4000829BARBC,THE LEGENDS OF SOUL CB3 BARITONE BC PART (O/P),$9.95
,M-050-08430-3,ELLERBY - CONCERTO FOR BARITONE/PIANO,$52.95
,WB2229,UNITED SYSTEM FOR WINDS AND PERCUSSION B FLAT INST (LOW),$27.95
,Euphonium Books,,
,1203063739,AMEB EUPHONIUM GRADE 1 AND 2 ORCHESTRAL BRASS,$56.95
,1203063839,AMEB EUPHONIUM GRADE 3 AND 4 ORCHESTRAL BRASS,$56.95
,8BC,35 FAMOUS CHORALES BARITONE BC,$9.95
,8TC,35 FAMOUS CHORALES BARITONE TC,$9.95
,W18BC,HARMONIZED RHYTHMS EUPH,$16.95
,W33BCA,FULL RANGE FINGERING CHART EUPHONIUM BC COMPENSATING,$9.95
,W33BCN,FULL RANGE FINGERING CHART EUPHONIUM BC NON COMPENSATING,$9.95
,W33TCA,FULL RANGE FINGERING CHART EUPHONIUM TC COMPENSATING,$9.95
,W33TCN,FULL RANGE FINGERING CHART EUPHONIUM TC NON COMPENSATING,$9.95
,35014415,MORCEAU DE CONCERT EUPHONIUM (POD),$29.95
,35020924,SONATA FOR UNACCOMPANIED EUPHONIUM OR TROMBON SO,$27.95
,4005882EUPBC,MONARCH FANFARE CB4 EUPHONIUM BC PART,$9.95
,48001042,PARTITA FOR EUPH/PNO,$57.95
,48001044,CLASTICS 2 OP 62 EUPHONIUM & PERCUSSION,$42.95
,CH55698,EUPHONIUM CONCERTO EUPH/PIANO,$58.95
,G-10172,HABITS SUCCESSFUL BEGINNER BAND MUSICIAN EUPHONIUM,$31.95
,GB7412,EUPHONIUM TONIC BK 1 EUP PNO BK/CD,$91.95
,GB7413,EUPHONIUM TONIC BK 2 EUP/PNO BK/CD,$91.95
,GB7622,EUPHONIUM PASSION BK 1 EUP/PNO BK/CD,$107.00
,BH2800065,THE EUPHONIUM PRACTICAL TUTOR BASS CLEF,$54.95
,BH8000827,BRAVO! EUPHONIUM & PIANO,$33.95
,BH12315,JENKINS - EUPHONIUM CONCERTO EUPHONIUM/PIANO,$65.95
,NOV120387,HOROVITZ - CONCERTO FOR EUPHONIUM/PIANO,$58.95
,NOV120387,HOROVITZ - EUPHONIUM CONCERTO,$38.99
,CH55698,GOLLAND - CONCERTO EUPHONIUM/PIANO,$38.99
,81-STB2417,Rondo Alla Turca,$13.95
,8138,Habits of a Successful Musician - Euphonium,$28.95
,9153,Habits of a Successful Middle School Musician - Euphonium,$28.95
,10172,Habits of a Successful Beginner Band Musician - Euphonium,$31.95
,36-10540001,Concerto for Euphonium,$97.95
,36-10540295,"Five Pieces in Folk Style, Op 102",$45.95
,36-10540428,Mirror Lake,$19.95
,36-20537452,Two Sentimental Songs,$48.95
,36-20548449,Chorale and Clog Dance,$45.95
,36-20548450,Waltz and March,$32.95
,36-20548451,Dirge and Slow Dance,$32.95
,50540001,ADLER - CANTO XXII EUPHONIUM SOLO,$16.95
,36-50548001,Canzona Per Sonare No 1,$25.95
